tx_id,member_id,ticker,tx_timestamp,side,quantity,price,fee
1,2062,ADA,12/28/2023 9:24,SELL,1.65086,14210.71,35.200812
2,681,ADA,10/3/2023 12:10,BUY,3.568347,10486.71,45.964122
3,1814,XRP,10/30/2023 16:53,SELL,3.331486,3019.69,6.598875
4,4594,ETH,3/18/2023 16:39,SELL,2.832444,28829.33,115.132266
5,3135,ADA,9/3/2023 22:47,BUY,0.54791,10951.18,10.54431
6,4716,ADA,11/12/2023 3:21,BUY,4.833981,10673.37,44.264345
7,4947,LTC,4/4/2023 22:57,BUY,1.974788,19991.87,63.817548
8,3607,XRP,7/4/2023 22:05,SELL,2.870991,4436.61,16.356794
9,3538,LTC,1/2/2023 21:26,SELL,0.137946,19014.44,3.54204
10,2695,ETH,1/2/2023 21:31,BUY,4.604142,21688.03,170.036983
11,2077,BTC,6/10/2023 15:35,BUY,3.418228,9184.25,32.29071
12,3654,ETH,8/9/2023 9:26,SELL,1.629317,15473.45,39.043423
13,1316,LTC,4/19/2023 8:58,BUY,3.856336,17620.7,89.758051
14,2856,ETH,3/7/2023 13:41,SELL,0.868569,28071.03,30.47105
15,2882,XRP,9/15/2023 11:23,SELL,3.701898,3221.25,20.920207
16,2506,XRP,6/20/2023 10:48,BUY,3.612484,5414.93,28.543481
17,4074,ADA,7/14/2023 21:13,SELL,3.785257,8779.64,26.693688
18,2873,LTC,9/26/2023 16:34,BUY,2.194468,12979.47,29.684868
19,2645,ETH,5/30/2023 5:45,BUY,0.957051,25348.87,23.430255
20,4592,XRP,6/19/2023 23:54,BUY,2.804007,5433.94,11.68453
21,623,ADA,10/7/2023 23:44,BUY,0.461806,11200.87,7.225925
22,3315,XRP,8/14/2023 22:38,SELL,0.73737,4110.73,3.062186
23,1090,BTC,7/15/2023 13:32,SELL,0.527094,9317.02,9.49832
24,4671,LTC,5/27/2023 10:01,SELL,1.625943,16336.79,22.239274
25,2015,BTC,8/19/2023 1:23,BUY,3.340931,8696.4,26.459034
26,1794,ETH,11/27/2023 7:39,BUY,1.136905,16598.51,27.775037
27,102,LTC,10/3/2023 4:57,BUY,4.823307,13288.28,114.489945
28,3396,ETH,10/7/2023 14:58,SELL,4.991879,19368.17,76.221323
29,4759,ADA,6/26/2023 17:42,BUY,2.88153,10422.02,55.663553
30,2982,LTC,7/5/2023 8:55,SELL,1.325151,26517.63,37.084601
31,4427,ADA,8/19/2023 10:55,BUY,4.790875,9994.56,33.601159
32,2023,ETH,8/24/2023 23:58,SELL,2.899003,16824.69,31.456452
33,3898,ADA,8/5/2023 17:19,BUY,0.53299,9673.69,8.968521
34,4539,XRP,6/20/2023 11:53,SELL,1.127579,5414.93,5.517777
35,3771,XRP,2/3/2023 1:48,SELL,2.490693,3578.4,10.287714
36,4588,LTC,9/20/2023 0:45,BUY,3.254885,12299.46,73.811947
37,523,ADA,1/18/2023 5:02,SELL,0.33641,14845.15,7.882136
38,226,XRP,10/22/2023 8:36,SELL,2.459141,2876.32,11.008329
39,1763,LTC,4/14/2023 13:31,SELL,1.556028,16189.75,38.941562
40,1906,ADA,6/8/2023 11:16,SELL,4.381084,14488.43,121.834077
41,4808,ETH,8/6/2023 18:25,BUY,0.043809,14725.36,0.912429
42,4813,ETH,7/1/2023 12:13,BUY,4.886996,22989.09,159.620726
43,1321,BTC,3/24/2023 14:07,SELL,1.25151,8514.03,14.941933
44,1485,ETH,10/22/2023 6:07,BUY,4.644843,19204.76,142.100591
45,772,ADA,7/20/2023 3:02,SELL,2.874274,8859.49,48.982303
46,3124,ADA,5/30/2023 13:54,SELL,0.701162,13953.3,9.929719
47,2910,ETH,1/17/2023 10:37,BUY,2.157501,24003.81,45.471176
48,2135,ADA,4/16/2023 6:17,BUY,1.140935,15928.49,35.955181
49,2783,XRP,2/8/2023 2:47,BUY,0.479199,3548.12,1.507535
50,499,ADA,2/25/2023 20:41,SELL,0.30514,13800.87,4.462692
51,4335,XRP,9/28/2023 0:03,BUY,1.64103,2787.3,4.388318
52,4616,ETH,8/1/2023 19:23,BUY,0.356252,15482.78,4.184206
53,4082,ETH,6/6/2023 21:11,BUY,1.099686,21896.74,24.509887
54,1268,ADA,5/5/2023 23:19,SELL,2.874185,14934.82,78.860685
55,4157,ADA,3/6/2023 6:03,BUY,4.096787,13277.9,29.674095
56,986,XRP,12/5/2023 18:20,SELL,1.56521,3905.05,5.728048
57,1478,LTC,1/30/2023 23:18,SELL,0.845253,18325.98,10.062089
58,1272,ETH,4/27/2023 20:35,SELL,4.600796,23173.75,203.290882
59,3186,BTC,4/27/2023 18:42,SELL,4.720615,9098.11,64.554333
60,2018,ADA,2/8/2023 11:32,BUY,1.204862,16388.48,34.088818
61,341,BTC,6/25/2023 13:47,BUY,4.583886,9667.21,83.383926
62,4843,XRP,11/5/2023 22:30,BUY,2.604021,2883.17,11.226233
63,4613,ADA,9/27/2023 17:59,SELL,2.664309,10223.46,29.724711
64,1647,ETH,1/25/2023 21:57,BUY,0.686024,24724.42,27.906558
65,3493,BTC,4/24/2023 21:22,BUY,1.891564,8505.62,19.881052
66,2634,BTC,4/3/2023 3:33,SELL,3.05222,9372.67,27.43015
67,452,ETH,10/11/2023 9:48,BUY,0.217746,16278.58,6.806226
68,4680,BTC,3/25/2023 20:03,BUY,3.208253,8704.92,44.93229
69,387,ETH,2/9/2023 0:57,SELL,1.930658,26536.94,52.650288
70,3554,BTC,3/4/2023 1:47,SELL,2.624682,9411.99,18.95832
71,367,ADA,6/5/2023 23:14,SELL,0.502267,13686.53,13.232645
72,598,XRP,8/24/2023 10:55,SELL,2.481423,3891.81,13.102133
73,371,ETH,11/7/2023 0:31,SELL,1.038089,19168.62,30.526334
74,1970,ADA,9/28/2023 0:09,SELL,4.577072,10438.45,47.592449
75,1871,ETH,6/11/2023 13:18,BUY,4.190559,22520.5,53.522523
76,2017,LTC,12/19/2023 20:26,SELL,1.298345,10544.24,25.782036
77,2538,LTC,1/21/2023 19:28,BUY,4.394618,20058.09,141.472591
78,84,ADA,11/24/2023 13:58,BUY,2.074063,10978.31,20.882782
79,2077,ADA,10/23/2023 16:39,SELL,3.13642,12106,41.508361
80,1056,ETH,7/24/2023 15:19,SELL,1.122643,14465.38,23.651074
81,4003,ETH,3/30/2023 5:25,BUY,2.689329,26563.63,53.653773
82,3263,ETH,2/8/2023 8:45,BUY,1.43933,27070.8,69.482695
83,979,LTC,10/27/2023 3:42,BUY,4.429142,14562.47,51.805097
84,4080,BTC,11/2/2023 18:56,BUY,2.595946,9436.75,13.5603
85,913,XRP,3/24/2023 3:43,BUY,4.167143,4320.02,13.982578
86,553,ETH,9/1/2023 23:40,BUY,3.080451,19558.76,69.718832
87,4891,LTC,7/17/2023 15:05,SELL,3.317755,21260.28,88.553438
88,2605,LTC,4/18/2023 7:10,BUY,0.080914,16985.69,1.002014
89,1438,BTC,11/12/2023 8:33,BUY,1.01124,7473.47,11.080786
90,1255,BTC,11/25/2023 12:58,SELL,2.532917,7788.8,16.529493
91,2752,ADA,9/9/2023 6:38,SELL,2.199969,10922.93,43.422547
92,4929,ETH,1/1/2023 8:23,BUY,2.788697,21956.95,43.783132
93,913,ADA,11/18/2023 1:56,SELL,2.055522,10466.41,27.998465
94,2636,ADA,10/7/2023 5:47,BUY,0.725998,11200.87,5.331937
95,3123,BTC,9/24/2023 0:12,BUY,0.301504,8725.86,2.844748
96,1840,XRP,4/4/2023 4:05,SELL,0.185624,5449.13,1.333521
97,3903,LTC,12/5/2023 22:08,SELL,3.227503,12058.58,35.94968
98,3684,XRP,4/6/2023 13:12,SELL,1.195969,5160.08,7.626756
99,3728,LTC,11/24/2023 11:46,BUY,4.493898,11457.81,60.8272
100,1834,BTC,12/10/2023 12:17,BUY,3.189095,7836.13,19.030752
101,1314,ADA,5/28/2023 8:46,BUY,0.114476,13911.35,2.720297
102,3768,ETH,5/13/2023 1:27,BUY,4.400227,22078.84,172.689991
103,2892,ADA,11/21/2023 4:16,BUY,2.034904,10766.19,39.991877
104,3637,ADA,5/13/2023 15:26,SELL,2.322951,14373.67,33.613106
105,1091,BTC,2/16/2023 13:36,SELL,1.037516,9216.16,7.892776
106,1595,XRP,2/20/2023 19:24,SELL,3.649241,3883.15,23.752516
107,4491,ETH,8/2/2023 15:48,SELL,3.962471,14900.76,62.717829
108,3219,BTC,3/25/2023 7:17,BUY,0.552164,8704.92,7.105783
109,3377,BTC,2/1/2023 21:17,BUY,1.093719,9302.15,13.506306
110,3149,ADA,12/26/2023 22:30,SELL,2.164601,13252.49,54.928598
